Timestamp,CO_ref,O3_ref,RH_ref,Temp_ref
2025-06-01 01:00:00,,29.0,86.0,16.0
2025-06-01 02:00:00,,25.0,85.0,16.0
2025-06-01 03:00:00,,19.0,84.0,16.0
2025-06-01 04:00:00,,11.0,85.0,16.0
2025-06-01 05:00:00,,13.0,84.0,16.0
2025-06-01 06:00:00,,11.0,83.0,16.0
2025-06-01 07:00:00,,8.0,83.0,16.0
2025-06-01 08:00:00,0.6,13.0,81.0,16.0
2025-06-01 09:00:00,0.63,21.0,78.0,17.0
2025-06-01 10:00:00,0.61,33.0,71.0,18.0
2025-06-01 11:00:00,0.64,54.0,62.0,20.0
2025-06-01 12:00:00,0.57,79.0,52.0,21.0
2025-06-01 13:00:00,0.49,105.0,42.0,23.0
2025-06-01 14:00:00,0.57,118.0,42.0,23.0
2025-06-01 15:00:00,0.53,125.0,40.0,24.0
2025-06-01 16:00:00,0.49,101.0,41.0,25.0
2025-06-01 17:00:00,0.36,61.0,48.0,23.0
2025-06-01 18:00:00,0.55,50.0,55.0,21.0
2025-06-01 19:00:00,0.55,49.0,57.0,21.0
2025-06-01 20:00:00,0.68,44.0,57.0,21.0
2025-06-01 21:00:00,0.81,31.0,60.0,20.0
2025-06-01 22:00:00,0.52,38.0,59.0,19.0
2025-06-01 23:00:00,0.34,36.0,75.0,16.0
2025-06-02 00:00:00,0.34,37.0,81.0,16.0
2025-06-02 01:00:00,0.4,30.0,81.0,16.0
2025-06-02 02:00:00,0.43,24.0,83.0,16.0
2025-06-02 03:00:00,0.47,18.0,82.0,16.0
2025-06-02 04:00:00,0.49,15.0,84.0,16.0
2025-06-02 05:00:00,0.48,16.0,83.0,16.0
2025-06-02 06:00:00,0.51,9.0,83.0,16.0
2025-06-02 07:00:00,0.73,4.0,82.0,16.0
2025-06-02 08:00:00,0.91,8.0,76.0,17.0
2025-06-02 09:00:00,0.72,25.0,69.0,18.0
2025-06-02 10:00:00,0.62,45.0,57.0,20.0
2025-06-02 11:00:00,0.85,54.0,53.0,21.0
2025-06-02 12:00:00,,60.0,48.0,22.0
2025-06-02 13:00:00,0.76,66.0,45.0,23.0
2025-06-02 14:00:00,0.87,98.0,43.0,24.0
2025-06-02 15:00:00,0.52,114.0,34.0,26.0
2025-06-02 16:00:00,0.57,97.0,40.0,25.0
2025-06-02 17:00:00,0.66,85.0,43.0,24.0
2025-06-02 18:00:00,0.66,50.0,55.0,22.0
2025-06-02 19:00:00,0.69,36.0,60.0,21.0
2025-06-02 20:00:00,0.49,40.0,78.0,17.0
2025-06-02 21:00:00,0.52,31.0,84.0,16.0
2025-06-02 22:00:00,0.49,26.0,85.0,15.0
2025-06-02 23:00:00,0.51,27.0,84.0,15.0
2025-06-03 00:00:00,0.41,28.0,83.0,15.0
2025-06-03 01:00:00,0.52,19.0,84.0,15.0
2025-06-03 02:00:00,0.53,15.0,84.0,15.0
2025-06-03 03:00:00,0.48,14.0,85.0,15.0
2025-06-03 04:00:00,0.47,11.0,84.0,15.0
2025-06-03 05:00:00,0.42,10.0,84.0,15.0
2025-06-03 06:00:00,0.53,2.0,84.0,15.0
2025-06-03 07:00:00,0.99,1.0,85.0,15.0
2025-06-03 08:00:00,1.26,2.0,85.0,16.0
2025-06-03 09:00:00,1.12,10.0,79.0,17.0
2025-06-03 10:00:00,1.09,22.0,70.0,18.0
2025-06-03 11:00:00,0.92,41.0,60.0,20.0
2025-06-03 12:00:00,0.64,64.0,50.0,21.0
2025-06-03 13:00:00,0.72,77.0,45.0,23.0
2025-06-03 14:00:00,0.65,90.0,43.0,23.0
2025-06-03 15:00:00,0.69,128.0,40.0,24.0
2025-06-03 16:00:00,0.86,136.0,40.0,25.0
2025-06-03 17:00:00,0.54,76.0,41.0,24.0
2025-06-03 18:00:00,0.42,49.0,46.0,22.0
2025-06-03 19:00:00,0.76,38.0,46.0,22.0
2025-06-03 20:00:00,0.8,33.0,51.0,22.0
2025-06-03 21:00:00,0.68,19.0,67.0,19.0
2025-06-03 22:00:00,0.82,9.0,67.0,19.0
2025-06-03 23:00:00,0.9,5.0,68.0,19.0
2025-06-04 00:00:00,0.76,,66.0,19.0
2025-06-04 01:00:00,,,70.0,18.0
2025-06-04 02:00:00,,,72.0,18.0
2025-06-04 03:00:00,,,73.0,18.0
2025-06-04 04:00:00,0.36,14.0,72.0,18.0
2025-06-04 05:00:00,0.32,12.0,74.0,17.0
2025-06-04 06:00:00,0.39,7.0,75.0,17.0
2025-06-04 07:00:00,0.48,2.0,75.0,17.0
2025-06-04 08:00:00,0.65,4.0,73.0,18.0
2025-06-04 09:00:00,0.86,8.0,70.0,19.0
2025-06-04 10:00:00,0.9,21.0,64.0,20.0
