Fecha,Hora,ccaco,ccao3,ccapm2
2023-03-07,16,0.45,83.000,3
2023-03-07,17,0.38,77.000,11
2023-03-07,18,0.38,73.000,9
2023-03-07,19,0.52,58.000,14
2023-03-07,20,0.60,41.000,19
2023-03-07,21,0.62,30.000,19
2023-03-07,22,0.66,23.000,19
2023-03-07,23,0.71,10.000,23
2023-03-07,24,0.68,17.000,19
2023-03-08,1,0.57,17.000,
2023-03-08,2,0.36,30.000,31
2023-03-08,3,0.33,29.000,15
2023-03-08,4,0.34,21.000,25
2023-03-08,5,0.34,19.000,8
2023-03-08,6,0.35,13.000,12
2023-03-08,7,0.55,3.000,9
2023-03-08,8,1.15,2.000,12
2023-03-08,9,1.51,9.000,13
2023-03-08,10,1.93,18.000,22
2023-03-08,11,1.50,40.000,52
2023-03-08,12,1.17,61.000,47
2023-03-08,13,0.68,73.000,47
2023-03-08,14,0.43,66.000,27
2023-03-08,15,0.39,73.000,13
2023-03-08,16,0.40,77.000,5
2023-03-08,17,0.37,67.000,10
2023-03-08,18,0.39,61.000,17
2023-03-08,19,0.47,51.000,23
2023-03-08,20,0.64,30.000,17
2023-03-08,21,0.57,23.000,15
2023-03-08,22,0.59,18.000,16
2023-03-08,23,0.70,9.000,16
2023-03-08,24,0.63,9.000,12
2023-03-09,1,0.50,12.000,
2023-03-09,2,0.40,17.000,14
2023-03-09,3,0.34,23.000,17
2023-03-09,4,0.37,19.000,7
2023-03-09,5,0.45,7.000,9
2023-03-09,6,0.41,8.000,17
2023-03-09,7,0.48,8.000,10
2023-03-09,8,0.96,3.000,7
2023-03-09,9,1.00,11.000,15
2023-03-09,10,1.17,24.000,9
2023-03-09,11,0.90,48.000,25
2023-03-09,12,0.81,74.000,26
2023-03-09,13,0.82,93.000,29
2023-03-09,14,0.59,89.000,34
2023-03-09,15,0.47,87.000,29
2023-03-09,16,0.45,93.000,14
2023-03-09,17,0.39,85.000,15
2023-03-09,18,0.38,71.000,16
2023-03-09,19,0.45,55.000,18
2023-03-09,20,0.75,29.000,18
2023-03-09,21,0.52,23.000,17
2023-03-09,22,0.59,14.000,18
2023-03-09,23,0.59,16.000,9
2023-03-09,24,0.60,11.000,12
2023-03-10,1,0.44,19.000,
2023-03-10,2,0.32,29.000,18
2023-03-10,3,0.30,30.000,10
2023-03-10,4,0.31,27.000,4
2023-03-10,5,0.35,14.000,8
2023-03-10,6,0.46,2.000,9
2023-03-10,7,0.63,1.000,12
2023-03-10,8,1.21,3.000,14
2023-03-10,9,1.02,13.000,14
2023-03-10,10,1.00,28.000,19
2023-03-10,11,1.40,40.000,19
2023-03-10,12,1.33,58.000,32
2023-03-10,13,0.79,65.000,47
2023-03-10,14,0.64,85.000,37
2023-03-10,15,0.60,100.000,17
2023-03-10,16,0.47,90.000,19
2023-03-10,17,0.41,87.000,14
2023-03-10,18,0.40,77.000,12
2023-03-10,19,0.51,50.000,19
2023-03-10,20,0.57,26.000,17
2023-03-10,21,0.59,16.000,21
2023-03-10,22,0.84,6.000,9
2023-03-10,23,0.94,1.000,15
2023-03-10,24,0.84,,13
2023-03-11,1,,,
2023-03-11,2,,,26
2023-03-11,3,,,18
2023-03-11,4,0.64,9.000,20
2023-03-11,5,0.49,16.000,19
2023-03-11,6,0.51,13.000,20
2023-03-11,7,0.55,6.000,12
2023-03-11,8,1.02,3.000,32
2023-03-11,9,1.31,9.000,15
2023-03-11,10,1.27,24.000,32
2023-03-11,11,1.02,44.000,38
2023-03-11,12,0.78,62.000,37
2023-03-11,13,0.60,70.000,33
2023-03-11,14,0.46,76.000,22
2023-03-11,15,0.49,92.000,16
2023-03-11,16,0.54,101.000,16
2023-03-11,17,0.56,90.000,37
2023-03-11,18,0.48,65.000,32
2023-03-11,19,0.43,56.000,20
2023-03-11,20,0.37,49.000,23
2023-03-11,21,0.49,40.000,19
2023-03-11,22,0.56,36.000,12
2023-03-11,23,0.60,26.000,15
2023-03-11,24,0.61,23.000,14
2023-03-12,1,0.75,11.000,
2023-03-12,2,0.59,21.000,23
2023-03-12,3,0.67,10.000,22
2023-03-12,4,0.68,10.000,18
2023-03-12,5,0.80,3.000,17
2023-03-12,6,0.80,1.000,22
2023-03-12,7,0.74,3.000,22
2023-03-12,8,0.90,5.000,20
