Timestamp,PM2.5_Data,PM10*_Data,Ozone_Data,Carbon_Monoxide_Data,Temperature_Data,Relative_Humidity_Data
07/03/2023 11:26:29,20,21,27,862,16.27,23.03
07/03/2023 11:31:28,19,20,31,831,24.40,33.60
07/03/2023 11:36:28,18,19,30,787,24.40,33.00
07/03/2023 11:41:28,18,19,28,764,24.40,32.00
07/03/2023 11:46:28,17,18,28,749,24.40,31.60
07/03/2023 11:51:28,16,17,29,735,24.47,31.47
07/03/2023 11:56:28,14,15,27,711,24.47,30.70
07/03/2023 12:01:27,12,13,25,683,24.50,29.07
07/03/2023 12:06:27,13,14,25,691,24.53,28.57
07/03/2023 12:11:27,12,13,24,682,24.57,28.37
07/03/2023 12:16:28,13,14,24,665,24.60,27.37
07/03/2023 12:21:27,13,14,24,650,24.60,26.80
07/03/2023 12:26:26,13,14,29,642,24.60,26.33
07/03/2023 12:31:27,14,15,29,641,24.60,26.50
07/03/2023 12:36:27,14,15,27,633,24.70,26.70
07/03/2023 12:41:26,15,16,27,633,24.70,25.93
07/03/2023 12:46:26,17,18,30,635,24.70,25.57
07/03/2023 12:51:27,17,18,33,630,24.73,25.90
07/03/2023 12:56:26,17,18,33,630,24.70,25.63
07/03/2023 13:01:26,16,17,33,629,24.70,26.13
07/03/2023 13:06:26,16,17,29,626,24.73,26.63
07/03/2023 13:11:25,17,18,27,622,24.80,26.90
07/03/2023 13:16:26,16,17,28,620,24.77,26.37
07/03/2023 14:55:55,9,10,1,0,30.80,16.70
07/03/2023 14:56:01,13,14,35,584,30.80,17.50
07/03/2023 14:56:07,23,24,36,581,30.80,17.60
07/03/2023 14:56:13,27,29,31,581,30.80,17.30
07/03/2023 14:56:19,28,30,25,581,30.60,16.90
07/03/2023 14:56:25,34,36,26,581,30.50,17.00
07/03/2023 14:56:31,35,37,35,581,30.50,16.80
07/03/2023 14:56:37,29,31,32,581,30.50,16.70
07/03/2023 14:57:21,16,17,37,579,30.67,17.33
07/03/2023 15:00:55,9,10,40,582,31.17,17.73
07/03/2023 15:05:55,10,11,38,595,31.77,17.17
07/03/2023 15:10:54,11,12,44,613,31.40,16.87
07/03/2023 15:15:55,10,11,45,613,31.40,16.93
07/03/2023 15:20:54,7,8,40,609,32.30,16.90
07/03/2023 15:25:55,10,11,42,626,32.23,16.67
07/03/2023 15:30:54,8,9,45,601,31.37,16.33
07/03/2023 15:35:54,9,10,47,588,31.73,17.00
07/03/2023 15:40:54,7,8,43,598,32.10,16.73
07/03/2023 15:45:54,7,8,45,602,32.03,16.63
07/03/2023 15:50:54,7,8,47,573,31.00,16.63
07/03/2023 15:55:54,6,7,45,551,31.00,16.80
07/03/2023 16:00:53,6,7,47,535,31.40,16.73
07/03/2023 16:05:54,5,6,49,531,31.27,16.53
07/03/2023 16:10:53,5,6,49,529,31.83,16.60
07/03/2023 16:15:54,7,8,50,528,32.37,16.57
07/03/2023 16:20:53,5,6,49,527,32.83,16.53
07/03/2023 16:25:53,6,7,46,530,32.90,16.37
07/03/2023 16:30:53,6,7,43,515,31.73,16.27
07/03/2023 16:35:53,5,6,47,498,31.63,16.70
07/03/2023 16:40:53,5,6,45,497,32.90,16.77
